,video_id,captioning,categoryID,definition,descrp_length,dislikes_to_views,duration_to_views,likes_to_dislikes,likes_to_views,numVides_on_Channel,popularity,publish_month,subscriber_count,title_length,views_to_daysActive,views_to_subscribers
0,--pZF9lF2cA,0,15,0,17,3.9773405228e-05,0.000698875549015,15.2857142857,0.000607964908492,2,0,11,10,59,55.8366116751,5.681559929e-05
1,-5D6jTXFN4o,0,23,0,163,0.000966568986943,0.00247012074441,2.68253968254,0.00259285966339,32,0,2,8909,20,24.3568759342,0.138922813874
2,-CH_Q2i2_t4,0,24,0,99,0.00110441690596,0.000289433396043,0.675862068966,0.00074643349506,48,0,11,203,52,47.108360244,0.00154616011516
3,-H2zRiaRvwY,0,26,1,630,0.0,1.40499040307,1.0,0.00959692898273,73,0,8,3118,69,0.368719037509,5.98272552783
4,-HaoIVcHwrE,0,10,1,3839,0.0,0.669609079445,1.0,0.0390920554855,8,0,6,139,34,0.546143250689,0.174022698613
5,-NcaTTMnzH8,0,22,0,60,0.0,16.303030303,1.0,0.0606060606061,4,0,1,0,9,0.0205479452055,0.0
6,-PJa3jaEVyM,0,25,0,265,0.000463476070528,0.00381863979849,15.152173913,0.00702267002519,1,0,3,55,24,33.0392809587,0.000554145004634
7,-T25luqCieY,0,10,0,248,0.000114238713215,0.00317583622738,8.2,0.000936757448364,99,0,3,224,94,19.1043212571,0.00511742666545
8,-UvNO0-j6UY,0,10,1,2928,0.0047871000252,0.105568153187,1.10526315789,0.00529100529101,46,0,10,455,36,2.92699115044,0.114638447972
9,-X7uP8HDuGw,0,24,0,210,0.000155497178668,0.00150078337594,15.2121212121,0.00236072989433,5545,0,11,161889,62,317.697309417,0.381270305049
10,-XDf-RQvyuw,0,25,0,188,0.000185908161368,0.0286298568507,5.0,0.000929540806841,750,0,6,3478,27,1.83270868825,0.651301115242
11,-ZKVWiWr-jQ,0,10,0,131,0.0016835016835,0.230078563412,1.33333333333,0.00224466891134,475,0,6,282,81,0.815934065934,0.158810325477
12,-dYpiI7xGCE,0,23,0,222,0.000886239123428,0.0581695133742,0.636363636364,0.000563970351272,28,0,3,96,60,3.66568222091,0.00781501772478
